Unnamed: 0,Enlatados HBE,Precio Enlatados HBE,Enlatados Soriana,Precio Enlatados Soriana,Enlatados Chedraui,Precio Enlatados Chedraui,Enlatados LaComer,Precio Enlatados LaComer
,Sopas Knorr Sopa Letras 143 Gr,17.0,Frijoles Bayos La Costeña Enteros 560 Gr,14.0,Chiles Jalapeños La Costeña en Rajas 105g,6.5,Champiñones Rebanados,26.9
,Chiles Jalapeños Rajas 340 Gr,20.0,Frijoles Bayos La Costeña Refritos 400 Gr,11.3,Chiles Chipotles La Costeña Adobados Picados 220g,19.9,Chicharos,11.5
,Chiles Chipotles Adobados 105 Gr,11.9,Jalapeños Enteros Herdez En Escabeche 350 Gr,14.9,Chiles Chipotles La Costeña Adobados 220g,18.0,Granos De Elote Dorado,7.9
,Pimiento Morron En Tiras 200 Gr,16.5,Nachos De Jalapeño La Costeña En Escabeche 220 Gr,12.2,Rajas San Marcos verdes 255g,8.5,Granos De Elote Dorado,11.25
,Sopa De Pollo Con Verduras 64 Gr,11.9,Nachos De Jalapeño La Costeña En Escabeche 380 Gr,18.8,Chiles El Mexicano Jalapeños en Nachos 380g,14.9,Ensalada De Verduras,11.2
,Atun Agua 295 Gr,35.9,Chile Cleme J Jalapeño Rajas Lat 800Gr,26.9,Chipotles San Marcos Adobados Enteros 120g,9.4,Flor De Calabaza,34.5
,Sopa De Camaron C/Limon Y Habanero 64 Gr,11.9,Chiles Jalapeños En Escabeche Enteros Clemente Jacques 220 Gr,6.9,Chiles Nachos Jalapeños La Costeña Rodajas 800g,31.5,Champiñones En Trocitos,31.33
,Sopa Municiones 95 Gr,13.0,Frijol Negros La Sierra 580 Gr,13.9,Chiles Chipotles La Costeña Adobados 105g,10.5,Chicharos Con Zanahoria,7.5
,Sopa Estrellas 115 Gr,16.0,Frijol Refritos Bayos La Sierra 580 Gr,13.9,Jalapeños Hab Tun Escabeche Fsc 238Gr,20.5,Mezcla Elote Con Poblano,16.85
,Sopa Ramen Carne De Res 85 Gr,6.0,Frijol Refritos Sierra 440 Gramo Lata,9.9,Rajas Verdes La Morena  380g,17.9,Ensalada De Vegetales,11.5
,Atun En Aceite 130 Gr,21.0,Frijoles La Costeña Estilo Ranch 410 Gr,16.0,Chiles La Costeña Rajas Rojas de Jalapeño 220g,11.75,Ensalada Campesina,8.38
,Garbanzo En Lata 400 Gr,15.5,Frijoles Negros La Costeña 560 Gr,14.0,Jalapeños Nachos La Morena  210g,10.2,Cebolla En Vinagre,47.5
,Chiles Jalapeños Rajas 240 Gr,12.5,Frijoles Negros La Costeña Refritos 580 Gr,14.5,Rajas Verdes La Morena 265g,8.9,Ensalada De Verduras,7.9
,Elote En Lata 400 Gr,13.0,Jalapeños Picados La Costeña En Escabeche 220 Gr,12.95,Chipotles Adobo La Morena 265g,23.5,Granos De Elote Dorado,12.83
,Atun Bajo En Sodio 74 Gr,22.0,Nachos De Jalapeño La Costeña En Escabeche 800 Gr,34.5,Jalapeños La Morena 265g,7.5,Chicharos,7.15
,Chilorio De Cerdo Pouch 215 Gr,55.0,Lala Media Crema De Leche De  Vaca 250 Ml Minibr,14.0,Chiles El Mexicano Jalapeños Enteros 780g,25.2,Arroz Gohan Blanco,204.0
